  x             y         z
 -12.800  0.8366E+02  0.7712E+02
 -12.770  0.2861E+03  0.8571E+02
 -12.740  0.1765E+03  0.9100E+02
 -12.710  0.5585E+02  0.9268E+02
 -12.680  0.7142E+02  0.9482E+02
 -12.650  0.8102E+02  0.9725E+02
 -12.620  0.6606E+02  0.9923E+02
 -12.590  0.2424E+02  0.9996E+02
 -12.560  0.1402E+01  0.1000E+03
 -12.530  0.1115E-01  0.1000E+03
 -12.500  0.1210E-04  0.1000E+03
 -12.470  0.1787E-08  0.1000E+03
 -12.440  0.3595E-13  0.1000E+03
 -12.410  0.9845E-19  0.1000E+03
 -12.380  0.3669E-25  0.1000E+03
 -12.350  0.1860E-32  0.1000E+03
 -12.320  0.1282E-40  0.1000E+03
 -12.290  0.1201E-49  0.1000E+03
 -12.260  0.1528E-59  0.1000E+03
 -12.230  0.2640E-70  0.1000E+03
 -12.200  0.7879E-82  0.1000E+03
 -12.170  0.1692E-82  0.1000E+03
 -12.140  0.1692E-82  0.1000E+03
 -12.110  0.1692E-82  0.1000E+03
 -12.080  0.1692E-82  0.1000E+03
 -12.050  0.1692E-82  0.1000E+03
 -12.020  0.1692E-82  0.1000E+03
 -11.990  0.1692E-82  0.1000E+03
 -11.960  0.1692E-82  0.1000E+03
 -11.930  0.1692E-82  0.1000E+03
 -11.900  0.1692E-82  0.1000E+03
 -11.870  0.1692E-82  0.1000E+03
 -11.840  0.1692E-82  0.1000E+03
 -11.810  0.1692E-82  0.1000E+03
 -11.780  0.1692E-82  0.1000E+03
 -11.750  0.1692E-82  0.1000E+03
 -11.720  0.1692E-82  0.1000E+03
 -11.690  0.1692E-82  0.1000E+03
 -11.660  0.1692E-82  0.1000E+03
 -11.630  0.1692E-82  0.1000E+03
 -11.600  0.1692E-82  0.1000E+03
 -11.570  0.1692E-82  0.1000E+03
 -11.540  0.1692E-82  0.1000E+03
 -11.510  0.1692E-82  0.1000E+03
 -11.480  0.1692E-82  0.1000E+03
 -11.450  0.1692E-82  0.1000E+03
 -11.420  0.1692E-82  0.1000E+03
 -11.390  0.1692E-82  0.1000E+03
 -11.360  0.1692E-82  0.1000E+03
 -11.330  0.1692E-82  0.1000E+03
 -11.300  0.1692E-82  0.1000E+03
 -11.270  0.1692E-82  0.1000E+03
 -11.240  0.1692E-82  0.1000E+03
 -11.210  0.1692E-82  0.1000E+03
 -11.180  0.1692E-82  0.1000E+03
 -11.150  0.1692E-82  0.1000E+03
 -11.120  0.1692E-82  0.1000E+03
 -11.090  0.1692E-82  0.1000E+03
 -11.060  0.1692E-82  0.1000E+03
 -11.030  0.1692E-82  0.1000E+03
 -11.000  0.1692E-82  0.1000E+03
 -10.970  0.1692E-82  0.1000E+03
 -10.940  0.1692E-82  0.1000E+03
 -10.910  0.1692E-82  0.1000E+03
 -10.880  0.1692E-82  0.1000E+03
 -10.850  0.1692E-82  0.1000E+03
 -10.820  0.1692E-82  0.1000E+03
 -10.790  0.1692E-82  0.1000E+03
 -10.760  0.1692E-82  0.1000E+03
 -10.730  0.1692E-82  0.1000E+03
 -10.700  0.1692E-82  0.1000E+03
 -10.670  0.1692E-82  0.1000E+03
 -10.640  0.1692E-82  0.1000E+03
 -10.610  0.1692E-82  0.1000E+03
 -10.580  0.1692E-82  0.1000E+03
 -10.550  0.1692E-82  0.1000E+03
 -10.520  0.1692E-82  0.1000E+03
 -10.490  0.1692E-82  0.1000E+03
 -10.460  0.1692E-82  0.1000E+03
 -10.430  0.1692E-82  0.1000E+03
 -10.400  0.1692E-82  0.1000E+03
 -10.370  0.1692E-82  0.1000E+03
 -10.340  0.1692E-82  0.1000E+03
 -10.310  0.1692E-82  0.1000E+03
 -10.280  0.1692E-82  0.1000E+03
 -10.250  0.1692E-82  0.1000E+03
 -10.220  0.1692E-82  0.1000E+03
 -10.190  0.1692E-82  0.1000E+03
 -10.160  0.1692E-82  0.1000E+03
 -10.130  0.1692E-82  0.1000E+03
 -10.100  0.1692E-82  0.1000E+03
 -10.070  0.1692E-82  0.1000E+03
 -10.040  0.1692E-82  0.1000E+03
 -10.010  0.1692E-82  0.1000E+03
  -9.980  0.1692E-82  0.1000E+03
  -9.950  0.1692E-82  0.1000E+03
  -9.920  0.1692E-82  0.1000E+03
  -9.890  0.1692E-82  0.1000E+03
  -9.860  0.1692E-82  0.1000E+03
  -9.830  0.1692E-82  0.1000E+03
  -9.800  0.1692E-82  0.1000E+03
  -9.770  0.1692E-82  0.1000E+03
