P     addS     VS      VS2      VS22
5.774280797279555217e-04 1.360900436062106422e+00 2.359551534186127952e+00 4.394761258676599169e+00 4.650204008027959190e+00
6.751801819379523849e-04 1.359215793796206384e+00 2.361236176452027991e+00 4.398130543208399246e+00 4.653573292559759267e+00
7.852333505686255426e-04 1.357589257662507265e+00 2.362862712585727110e+00 4.401383615475797484e+00 4.656826364827157505e+00
9.085612352786712241e-04 1.356017872370752997e+00 2.364434097877481378e+00 4.404526386059306020e+00 4.659969135410666041e+00
1.046158029611126208e-03 1.354498879692723534e+00 2.365953090555510840e+00 4.407564371415364946e+00 4.663007120766724967e+00
1.199035159683808915e-03 1.353029702295057035e+00 2.367422267953177339e+00 4.410502726210697944e+00 4.665945475562057965e+00
1.368217960092087560e-03 1.351607929187334634e+00 2.368844041060899741e+00 4.413346272426142747e+00 4.668789021777502768e+00
1.554742365089595291e-03 1.350231302479837581e+00 2.370220667768396794e+00 4.416099525841136852e+00 4.671542275192496874e+00
1.759651640414605124e-03 1.348897705450976758e+00 2.371554264797257616e+00 4.418766719898858497e+00 4.674209469250218518e+00
1.983993178391183637e-03 1.347605151633356257e+00 2.372846818614878117e+00 4.421351827534099499e+00 4.676794576885459520e+00
2.228815376210058208e-03 1.346351775034886344e+00 2.374100195213348030e+00 4.423858580731039325e+00 4.679301330082399346e+00
2.495164614629161171e-03 1.345135821029284529e+00 2.375316149218949846e+00 4.426290488742242957e+00 4.681733238093602978e+00
2.784082351764266810e-03 1.343955638279762610e+00 2.376496331968471765e+00 4.428650854241286794e+00 4.684093603592646815e+00
3.096602344193298811e-03 1.342809671157478846e+00 2.377642299090755529e+00 4.430942788485854322e+00 4.686385537837214343e+00
3.433748005295008711e-03 1.341696452960345454e+00 2.378755517287888921e+00 4.433169224880121106e+00 4.688611974231481128e+00
3.796529908597012608e-03 1.340614599655705064e+00 2.379837370592529311e+00 4.435332931489401886e+00 4.690775680840761908e+00
4.185943441929800175e-03 1.339562804103220373e+00 2.380889166145014002e+00 4.437436522594371269e+00 4.692879271945731290e+00
4.602966616375387364e-03 1.338539830772528916e+00 2.381912139475705459e+00 4.439482469255754182e+00 4.694925218607114203e+00
5.048558032363384407e-03 1.337544510984766788e+00 2.382907459263467587e+00 4.441473108831278438e+00 4.696915858182638459e+00
5.523655003800574149e-03 1.336575738372371092e+00 2.383876231875863283e+00 4.443410654056069831e+00 4.698853403407429852e+00
6.029171839817673573e-03 1.335632464804543673e+00 2.384819505443690701e+00 4.445297201191724668e+00 4.700739950543084689e+00
6.565998282572766374e-03 1.334713696618305079e+00 2.385738273629929296e+00 4.447134737564201856e+00 4.702577486915561877e+00
7.134998098556206633e-03 1.333818491126034900e+00 2.386633479122199475e+00 4.448925148548742214e+00 4.704367897900102236e+00
7.737007819988026003e-03 1.332945953370394676e+00 2.387506016877839699e+00 4.450670224060022662e+00 4.706112973411382683e+00
8.372835632176644713e-03 1.332095233141185275e+00 2.388356737107049099e+00 4.452371664518441463e+00 4.707814413869801484e+00
9.043260402105979603e-03 1.331265522254138745e+00 2.389186447994095630e+00 4.454031086292534525e+00 4.709473835643894546e+00
9.749030843028751517e-03 1.330456051902469738e+00 2.389995918345764636e+00 4.455650026995872537e+00 4.711092776347232558e+00
1.049086480945438278e-02 1.329666090401328660e+00 2.390785879846905715e+00 4.457229949998154694e+00 4.712672699349514716e+00
1.126944871662320311e-02 1.328894940859495222e+00 2.391557029388739153e+00 4.458772249081821570e+00 4.714214998433181592e+00
1.208543707834328074e-02 1.328141939214869893e+00 2.392310031033364481e+00 4.460278252371072227e+00 4.715721001722432248e+00
1.293945215692450697e-02 1.327406452299069173e+00 2.393045517949165202e+00 4.461749226202673668e+00 4.717191975554033689e+00
1.383208371886711363e-02 1.326687876032988100e+00 2.393764094215246274e+00 4.463186378734835813e+00 4.718629128086195834e+00
1.476388888994161278e-02 1.325985633840641498e+00 2.394466336407592877e+00 4.464590863119529018e+00 4.720033612470889040e+00
1.573539210332565441e-02 1.325299175019349462e+00 2.395152795228884912e+00 4.465963780762113089e+00 4.721406530113473110e+00
1.674708513453516956e-02 1.324627973386409252e+00 2.395823996861825123e+00 4.467306184027993510e+00 4.722748933379353531e+00
1.779942721699427979e-02 1.323971525882111422e+00 2.396480444366122953e+00 4.468619079036589170e+00 4.724061828387949191e+00
1.889284523222733644e-02 1.323329351289171285e+00 2.397122618959063090e+00 4.469903428222469444e+00 4.725346177573829465e+00
2.002773396881906559e-02 1.322700989126783355e+00 2.397750981121451019e+00 4.471160152547245303e+00 4.726602901898605325e+00
2.120445644447432540e-02 1.322085998515571958e+00 2.398365971732662416e+00 4.472390133769668097e+00 4.727832883121028118e+00
2.242334428570814595e-02 1.321483957115301422e+00 2.398968013132932953e+00 4.473594216570209170e+00 4.729036965921569191e+00
2.368469815991142147e-02 1.320894460208105414e+00 2.399557510040128960e+00 4.474773210384601185e+00 4.730215959735961206e+00
2.498878825475955509e-02 1.320317119752612456e+00 2.400134850495621919e+00 4.475927891295587102e+00 4.731370640646947123e+00
2.633585480016146022e-02 1.319751563569038666e+00 2.400700406679195709e+00 4.477059003662734682e+00 4.732501753014094703e+00
2.772610862817815811e-02 1.319197434480624764e+00 2.401254535767609610e+00 4.478167261839562485e+00 4.733610011190922506e+00
2.915973176657689347e-02 1.318654389644247971e+00 2.401797580603986404e+00 4.479253351512316073e+00 4.734696100863676094e+00
3.063687806191954868e-02 1.318122099764618582e+00 2.402329870483615792e+00 4.480317931271574849e+00 4.735760680622934871e+00
3.215767382831789811e-02 1.317600248483099534e+00 2.402851721765134840e+00 4.481361633834612945e+00 4.736804383185972966e+00
3.372221851821739780e-02 1.317088531693766384e+00 2.403363438554467990e+00 4.482385067413279245e+00 4.737827816764639266e+00
3.533058541179572715e-02 1.316586657048642195e+00 2.403865313199592180e+00 4.483388816703527624e+00 4.738831566054887645e+00
3.698282232178217582e-02 1.316094343288309432e+00 2.404357626959924943e+00 4.484373444224193150e+00 4.739816193575553172e+00
3.867895231071723922e-02 1.315611319776248678e+00 2.404840650471985697e+00 4.485339491248314658e+00 4.740782240599674680e+00
4.041897441787755535e-02 1.315137326004073515e+00 2.405314644244160860e+00 4.486287478792664984e+00 4.741730228144025006e+00
4.220286439329105910e-02 1.314672111111317321e+00 2.405779859136917054e+00 4.487217908578177372e+00 4.742660657929537393e+00
4.403057543645755995e-02 1.314215433448875814e+00 2.406236536799358561e+00 4.488131263903060386e+00 4.743574013254420407e+00
4.590203893757425352e-02 1.313767060157001509e+00 2.406684910091232865e+00 4.489028010486808995e+00 4.744470759838169016e+00
4.781716521923964208e-02 1.313326766743298180e+00 2.407125203504936195e+00 4.489908597314215655e+00 4.745351346665575676e+00
4.977584427677694823e-02 1.312894336777130633e+00 2.407557633471103742e+00 4.490773457246550748e+00 4.746216206597910769e+00
5.177794651547698579e-02 1.312469561438515342e+00 2.407982408809719033e+00 4.491623007923781330e+00 4.747065757275141351e+00
5.382332348320921500e-02 1.312052239299841716e+00 2.408399730948392659e+00 4.492457652201128582e+00 4.747900401552488603e+00
5.591180859699464156e-02 1.311642175874762728e+00 2.408809794373471647e+00 4.493277779051286558e+00 4.748720528402646579e+00
5.804321786226585705e-02 1.311239183414468101e+00 2.409212786833766273e+00 4.494083763971875811e+00 4.749526513323235832e+00
6.021735058366836646e-02 1.310843080602094091e+00 2.409608889646140284e+00 4.494875969596623833e+00 4.750318718947983854e+00
6.243399006637510157e-02 1.310453692261685177e+00 2.409998277986549198e+00 4.495654746277441660e+00 4.751097495628801681e+00
6.469290430699792260e-02 1.310070849081707678e+00 2.410381121166526697e+00 4.496420432637396658e+00 4.751863181988756679e+00
6.699384667328481258e-02 1.309694387411322936e+00 2.410757582836911439e+00 4.497173355978166143e+00 4.752616105329526164e+00
6.933655657188962651e-02 1.309324149027556672e+00 2.411127821220677703e+00 4.497913832745698670e+00 4.753356582097058691e+00
7.172076010359097753e-02 1.308959980873364515e+00 2.411491989374869860e+00 4.498642169054082984e+00 4.754084918405443005e+00
7.414617070542402211e-02 1.308601734868457100e+00 2.411850235379777274e+00 4.499358661063897813e+00 4.754801410415257834e+00
7.661248977926569947e-02 1.308249267720125175e+00 2.412202702528109199e+00 4.500063595360561663e+00 4.755506344711921685e+00
7.911940730648961417e-02 1.307902440734064697e+00 2.412549529514169677e+00 4.500757249332682619e+00 4.756199998684042640e+00
8.166660244837123384e-02 1.307561119581546194e+00 2.412890850666688181e+00 4.501439891637719626e+00 4.756882640989079647e+00
8.425374413199085422e-02 1.307225174212103269e+00 2.413226796036131105e+00 4.502111782376605476e+00 4.757554531727965497e+00
8.688049162143544890e-02 1.306894478606150045e+00 2.413557491642084329e+00 4.502773173588511924e+00 4.758215922939871945e+00
8.954649507415758658e-02 1.306568910644013926e+00 2.413883059604220449e+00 4.503424309512784163e+00 4.758867058864144184e+00
9.225139608239449340e-02 1.306248352004072188e+00 2.414203618244162186e+00 4.504065426792667637e+00 4.759508176144027658e+00
9.499482819959800817e-02 1.305932687959025174e+00 2.414519282289209201e+00 4.504696754882761667e+00 4.760139504234121688e+00
9.777641745186581301e-02 1.305621807244929045e+00 2.414830163003305330e+00 4.505318516310953925e+00 4.760761265662313946e+00
