T     addS     VS      VS2      VS22
8.800000000000000000e+02 1.293865406620000158e+00 2.479298706673237263e+00 4.631348134660211002e+00 4.890683668459107736e+00
9.000000000000000000e+02 1.297205201621217441e+00 2.467177199161429968e+00 4.607590021462435459e+00 4.866276526069142960e+00
9.200000000000000000e+02 1.300535600625536858e+00 2.455063503827293658e+00 4.583847392075924176e+00 4.841884968080087503e+00
9.400000000000000000e+02 1.303856800618760303e+00 2.442957524132687297e+00 4.560120062254323869e+00 4.817508803972359033e+00
9.600000000000000000e+02 1.307168990665946495e+00 2.430859163154487135e+00 4.536407846259649546e+00 4.793147842242763801e+00
9.800000000000000000e+02 1.310472352355866121e+00 2.418768323980039270e+00 4.512710557725096550e+00 4.768801891217218980e+00
1.000000000000000000e+03 1.313767060157001509e+00 2.406684910091232865e+00 4.489028010486808995e+00 4.744470759838169016e+00
1.020000000000000000e+03 1.317053281936779285e+00 2.394608825499183524e+00 4.465360018909500184e+00 4.720154257950913035e+00
1.040000000000000000e+03 1.320331179235481045e+00 2.382539975049482450e+00 4.441706398546894974e+00 4.695852196929124034e+00
1.060000000000000000e+03 1.323600907652746628e+00 2.370478264549888081e+00 4.418066966441493548e+00 4.671564389943497986e+00
1.080000000000000000e+03 1.326862617118390375e+00 2.358423600957017641e+00 4.394441541537567275e+00 4.647290652346974582e+00
1.100000000000000000e+03 1.330116452281465911e+00 2.346375892395432317e+00 4.370829944754699881e+00 4.623030801723466254e+00
1.120000000000000000e+03 1.333362552694914882e+00 2.334335048337617735e+00 4.347231999379374656e+00 4.598784658257152103e+00
1.140000000000000000e+03 1.336601053111202475e+00 2.322300979634981388e+00 4.323647531155316415e+00 4.574552044802903339e+00
1.160000000000000000e+03 1.339832083735814194e+00 2.310273598557415653e+00 4.300076368388175752e+00 4.550332786972951737e+00
1.180000000000000000e+03 1.343055770414409267e+00 2.298252818869613634e+00 4.276518342121129024e+00 4.526126713296292792e+00
1.200000000000000000e+03 1.346272234902237130e+00 2.286238555799116057e+00 4.252973286091531691e+00 4.501933655160776482e+00
1.220000000000000000e+03 1.349481594998522382e+00 2.274230726115789025e+00 4.229441036908767160e+00 4.477753446977700946e+00
1.240000000000000000e+03 1.352683964764331392e+00 2.262229248107743729e+00 4.205921434022933170e+00 4.453585926138529771e+00
1.260000000000000000e+03 1.355879454676340856e+00 2.250234041602801938e+00 4.182414319782957079e+00 4.429430933062185716e+00
1.280000000000000000e+03 1.359068171859462382e+00 2.238245027894663508e+00 4.158919539303063573e+00 4.405288311051648975e+00
1.300000000000000000e+03 1.362250220117886101e+00 2.226262129856188210e+00 4.135436940701893604e+00 4.381157906524101975e+00
1.320000000000000000e+03 1.365425700196425396e+00 2.214285271809451672e+00 4.111966374854127082e+00 4.357039568754359493e+00
1.340000000000000000e+03 1.368594709858747649e+00 2.202314379567027913e+00 4.088507695483556859e+00 4.332933149960567221e+00
1.360000000000000000e+03 1.371757343994460143e+00 2.190349380434021498e+00 4.065060759176731153e+00 4.308838505310944811e+00
1.380000000000000000e+03 1.374913694820634191e+00 2.178390203106175704e+00 4.041625425187994836e+00 4.284755492722638337e+00
1.400000000000000000e+03 1.378063851907981530e+00 2.166436777734951136e+00 4.018201555577526563e+00 4.260683972994073088e+00
1.420000000000000000e+03 1.381207902343419391e+00 2.154489035848278888e+00 3.994789015060419501e+00 4.236623809648790484e+00
1.440000000000000000e+03 1.384345930831180738e+00 2.142546910326295517e+00 3.971387670964624306e+00 4.212574868888566471e+00
1.460000000000000000e+03 1.387478019751753777e+00 2.130610335412342238e+00 3.947997393259441878e+00 4.188537019617491808e+00
1.480000000000000000e+03 1.390604249286027994e+00 2.118679246653833559e+00 3.924618054442717607e+00 4.164510133325165953e+00
1.500000000000000000e+03 1.393724697491904863e+00 2.106753580884948462e+00 3.901249529511574110e+00 4.140494084053571555e+00
1.520000000000000000e+03 1.396839440395972076e+00 2.094833276189660864e+00 3.877891695893360691e+00 4.116488748324705682e+00
1.540000000000000000e+03 1.399948552060536144e+00 2.082918271885517925e+00 3.854544433417544269e+00 4.092494005109180932e+00
1.560000000000000000e+03 1.403052104658122801e+00 2.071008508495630451e+00 3.831207624263988976e+00 4.068509735771613123e+00
1.580000000000000000e+03 1.406150168556962399e+00 2.059103927706431136e+00 3.807881152882160336e+00 4.044535823987047252e+00
