#  aims_uuid : 282258B3-0A00-4C8B-ABE0-40F779DADCD2                                
#  angular momentum projected density of states for species add_Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.703064 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2
       -3.94558476        0.21523228        0.01244496        0.20275995        0.00002737
       -3.93557475        0.11059312        0.00160330        0.10897253        0.00001729
       -3.92556474        0.05485404        0.00044369        0.05439794        0.00001242
       -3.91555473        0.20709365        0.00691067        0.20014524        0.00003774
       -3.90554472        0.37983042        0.01943131        0.36034026        0.00005885
       -3.89553471        0.47841632        0.03174207        0.44660087        0.00007338
       -3.88552470        0.04760828        0.00289122        0.04470829        0.00000876
       -3.87551469        0.09069131        0.00506065        0.08561592        0.00001474
       -3.86550468        0.15077147        0.00794558        0.14280448        0.00002141
       -3.85549467        0.01198578        0.00065675        0.01132678        0.00000225
       -3.84548466        0.03689930        0.00126730        0.03562574        0.00000625
       -3.83547465        0.49854295        0.01386508        0.48460471        0.00007315
       -3.82546464        0.29188386        0.00897791        0.28286209        0.00004386
       -3.81545463        0.27792910        0.02438720        0.25350891        0.00003299
       -3.80544462        0.59281012        0.05070964        0.54204363        0.00005684
       -3.79543461        0.58424330        0.04654734        0.53763126        0.00006470
       -3.78542460        0.17683097        0.01477933        0.16203404        0.00001760
       -3.77541459        0.18296262        0.00471814        0.17822064        0.00002384
       -3.76540458        0.08701014        0.00465802        0.08234363        0.00000849
       -3.75539457        0.08571552        0.00641682        0.07929090        0.00000780
       -3.74538456        0.45555676        0.04588561        0.40963779        0.00003336
       -3.73537455        0.33668305        0.02880781        0.30784503        0.00003021
       -3.72536454        0.25581872        0.02091018        0.23488565        0.00002289
       -3.71535453        0.20639932        0.01846912        0.18790920        0.00002100
       -3.70534452        0.17754384        0.01571704        0.16180777        0.00001903
       -3.69533451        0.14736064        0.01274951        0.13459501        0.00001612
       -3.68532450        0.11802443        0.00964184        0.10836901        0.00001358
       -3.67531449        0.08509562        0.00572259        0.07936196        0.00001107
       -3.66530448        0.08554038        0.00603282        0.07949725        0.00001031
       -3.65529447        0.19286089        0.01355626        0.17928170        0.00002293
       -3.64528446        0.11760682        0.00715116        0.11044124        0.00001442
       -3.63527445        0.02840758        0.00201034        0.02639155        0.00000570
       -3.62526444        0.03553235        0.00241194        0.03311371        0.00000670
       -3.61525443        0.04926936        0.00311329        0.04614709        0.00000898
       -3.60524442        0.03761784        0.00334112        0.03427348        0.00000324
       -3.59523441        0.07093865        0.00634910        0.06458194        0.00000761
       -3.58522440        0.10219809        0.00931750        0.09287056        0.00001003
       -3.57521439        0.19904884        0.01435071        0.18467475        0.00002338
       -3.56520438        0.29756123        0.01783671        0.27968775        0.00003677
       -3.55519437        0.86807871        0.08004687        0.78793925        0.00009259
       -3.54518436        0.54715341        0.04613049        0.50096838        0.00005455
       -3.53517435        0.50597249        0.04230592        0.46361248        0.00005409
       -3.52516434        0.44040870        0.03609506        0.40426479        0.00004885
       -3.51515433        0.34504138        0.02747633        0.31752580        0.00003925
       -3.50514432        0.22884084        0.01754420        0.21127003        0.00002661
       -3.49513431        0.09566095        0.00529564        0.09035089        0.00001443
       -3.48512430        0.07773530        0.00305955        0.07466045        0.00001529
       -3.47511429        0.08475421        0.00318391        0.08155245        0.00001785
       -3.46510428        0.04540913        0.00159329        0.04380537        0.00001047
       -3.45509427        0.02606414        0.00071861        0.02533882        0.00000671
       -3.44508426        0.04452707        0.00151151        0.04300423        0.00001133
       -3.43507425        0.05224322        0.00226894        0.04996298        0.00001130
       -3.42506424        0.06087198        0.00318905        0.05767200        0.00001093
       -3.41505423        0.07346336        0.00427573        0.06917629        0.00001135
       -3.40504422        0.08807318        0.00552332        0.08253802        0.00001184
       -3.39503421        0.10472439        0.00692709        0.09778476        0.00001253
       -3.38502420        0.12333812        0.00846012        0.11486447        0.00001352
       -3.37501419        0.14392654        0.01012646        0.13378561        0.00001448
       -3.36500418        0.07659218        0.00592902        0.07065762        0.00000553
       -3.35499417        0.20762221        0.01675316        0.19085415        0.00001490
       -3.34498416        0.23550534        0.01893604        0.21655044        0.00001886
       -3.33497415        0.28973044        0.02294287        0.26676282        0.00002474
       -3.32496414        0.33079928        0.02588549        0.30488438        0.00002940
       -3.31495413        0.35890676        0.02777227        0.33110167        0.00003281
       -3.30494412        0.37273876        0.02859474        0.34410950        0.00003452
