# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
         -6.77677678         26.55273529
         -6.76676677         52.09240022
         -6.75675676        109.17296067
         -6.74674675          0.00000000
         -6.73673674         27.60983411
         -6.72672673         90.04850464
         -6.71671672        142.55965208
         -6.70670671         26.80835784
         -6.69669670         55.39783797
         -6.68668669         71.33102633
         -6.67667668          0.43594396
         -6.66666667          3.17500344
         -6.65665666         18.06256048
         -6.64664665         27.63211408
         -6.63663664         82.81068144
         -6.62662663        122.21145474
         -6.61661662         42.09053570
         -6.60660661         68.29120284
         -6.59659660        185.46006624
         -6.58658659         65.42817878
         -6.57657658          0.00000000
         -6.56656657          0.00000000
         -6.55655656         57.47021937
         -6.54654655         68.95379136
         -6.53653654         27.34358166
         -6.52652653         48.78034901
         -6.51651652         69.75683158
         -6.50650651         32.53276710
         -6.49649650          0.00000000
         -6.48648649        132.69572168
         -6.47647648         73.16984239
         -6.46646647         70.12682667
         -6.45645646         49.80951530
         -6.44644645         48.85130354
         -6.43643644        114.56944518
         -6.42642643         46.08640369
         -6.41641642         28.04528236
         -6.40640641          2.26128082
         -6.39639640         99.72094410
         -6.38638639         24.64446492
         -6.37637638          7.99813131
         -6.36636637         15.90745524
         -6.35635636         23.81677918
         -6.34634635         29.83411689
         -6.33633634         29.01288296
         -6.32632633         33.47166668
         -6.31631632         29.23979456
         -6.30630631         25.00792244
         -6.29629630         20.77605032
         -6.28628629         56.99250905
         -6.27627628         46.47821107
         -6.26626627         48.44298885
         -6.25625626         52.73472119
         -6.24624625         65.07881406
         -6.23623624         40.51812402
         -6.22622623         38.71233157
         -6.21621622         52.51047064
         -6.20620621         38.02292370
         -6.19619620         41.24874315
         -6.18618619         16.51958515
         -6.17617618         34.82159189
         -6.16616617         62.13691276
         -6.15615616         89.77842770
         -6.14614615         18.22239447
         -6.13613614         13.04660092
         -6.12612613          7.87080737
         -6.11611612          0.00000000
         -6.10610611          0.00000000
         -6.09609610         30.16008932
         -6.08608609         18.54402365
         -6.07607608         36.36274457
         -6.06606607         30.94005768
         -6.05605606         25.51737079
         -6.04604605         15.03605318
         -6.03603604         11.39511957
         -6.02602603          7.75418597
         -6.01601602         54.14474975
         -6.00600601         87.61830881
         -5.99599600         12.34322714
         -5.98598599         14.38098785
         -5.97597598         13.01234107
         -5.96596597         11.64369429
         -5.95595596         10.27504751
         -5.94594595          8.90640073
         -5.93593594          8.24483531
         -5.92592593          9.05123995
         -5.91591592          9.85764458
         -5.90590591         22.11167015
         -5.89589590         37.12644633
         -5.88588589         17.52479297
         -5.87587588         15.35475297
         -5.86586587         13.18471296
         -5.85585586         11.01467296
         -5.84584585          8.84463295
         -5.83583584          6.67459295
         -5.82582583          0.00000000
         -5.81581582          0.00000000
         -5.80580581          0.00000000
         -5.79579580          0.00000000
